source_frame,clip_frame,clip_time_s,player_pose_accepted,rig_available,rig_interpolated,left_knee_2d_deg,left_knee_rig3d_deg,ankle_direction_elevation_model_deg,delta_t_replay_s,ankle_delta_x_model_m,ankle_delta_y_model_m,ankle_delta_z_model_m,ball_sam_centroid_x_px,ball_sam_centroid_y_px
2519,97,3.236567,1,1,0,105.574117,112.309407,24.834851,0.1001,0.165955,0.112288,0.176992,,
2520,98,3.269933,1,1,0,90.285054,101.061493,17.687927,0.1001,0.16275,0.088038,0.222983,,
2521,99,3.3033,1,1,0,71.913599,83.621398,-2.823014,0.1001,0.125194,-0.010803,0.179773,,
2522,100,3.336667,1,1,0,66.826889,74.477462,-10.163471,0.1001,0.139985,-0.03332,0.122269,,
2523,101,3.370033,1,1,0,55.84472,61.836745,-33.735955,0.1001,0.129078,-0.099396,0.074101,,
2524,102,3.4034,1,1,0,82.504574,70.780397,-18.087672,0.1001,0.116074,-0.044218,0.069684,,
2525,103,3.436767,1,1,0,104.971407,77.441147,-10.476283,0.1001,0.075295,-0.022867,0.098104,,
2526,104,3.470133,1,1,0,122.28434,81.751937,-9.190093,0.1001,0.049187,-0.01822,0.101306,,
2527,105,3.5035,1,1,0,137.242921,85.399308,-13.737156,0.1001,0.037235,-0.027888,0.107833,,
2528,106,3.536867,1,1,0,147.245249,88.046451,-17.995596,0.1001,0.025922,-0.031198,0.092477,,
2529,107,3.570233,1,1,0,151.841556,90.468072,-19.748105,0.1001,0.029829,-0.031285,0.08188,,
2530,108,3.6036,1,1,0,157.160561,94.753307,-15.614591,0.1001,0.017677,-0.021866,0.076213,,
2531,109,3.636967,1,1,0,160.071585,96.269368,-19.466884,0.1001,0.024196,-0.023742,0.06266,,
2532,110,3.670333,1,1,0,161.301318,99.572723,-21.915675,0.1001,0.025601,-0.023778,0.053271,,
2533,111,3.7037,1,1,0,163.158549,100.365363,-23.16158,0.1001,0.030217,-0.026222,0.053328,,
2534,112,3.737067,1,1,0,163.422845,104.29767,-24.85808,0.1001,0.031405,-0.029765,0.056047,,
2535,113,3.770433,1,1,0,163.142147,107.461462,-18.087906,0.1001,0.020027,-0.026031,0.077142,,
2536,114,3.8038,1,1,0,162.208613,110.430409,-29.155943,0.1001,0.022164,-0.035698,0.060028,,
2537,115,3.837167,1,1,0,162.692332,114.13076,-26.357954,0.1001,0.021363,-0.030759,0.058287,,
2538,116,3.870533,1,1,0,161.675948,114.95325,-41.86856,0.1001,0.030715,-0.042494,0.036118,,
2539,117,3.9039,1,1,0,161.815841,118.702375,-39.762646,0.1001,0.017884,-0.04807,0.054934,,
2540,118,3.937267,1,1,0,160.781592,120.584329,-59.200218,0.1001,0.02426,-0.06795,0.032438,,
2541,119,3.970633,1,1,0,161.227074,121.907888,-57.073049,0.1001,0.016622,-0.067632,0.040522,,
2542,120,4.004,1,1,0,160.171985,123.409885,-67.25965,0.1001,0.030174,-0.072898,0.004805,,
2543,121,4.037367,1,1,0,161.29867,127.252997,-63.66413,0.1001,0.016126,-0.062955,0.026667,,
2544,122,4.070733,1,1,0,160.789651,128.585091,-69.701479,0.1001,0.020531,-0.067928,0.014483,,
2545,123,4.1041,1,1,0,161.02047,130.736509,-58.611417,0.1001,0.012839,-0.054835,0.030895,,
2546,124,4.137467,1,1,0,161.213993,132.628127,-63.036468,0.1001,0.013962,-0.03548,0.011438,,
2547,125,4.170833,1,1,0,161.30725,134.579042,-35.135195,0.1001,0.007084,-0.013282,0.017495,,
2548,126,4.2042,1,1,0,160.777981,135.322068,-0.000743,0.1001,0.008694,0,0.004068,,
2549,127,4.237567,1,1,0,160.662953,135.742268,16.53722,0.1001,0.004093,0.001921,0.00501,,
2550,128,4.270933,1,1,0,159.88131,135.215754,27.302195,0.1001,0.005953,0.003721,-0.004067,,
2551,129,4.3043,1,1,0,160.22632,136.716415,23.448818,0.1001,0.003894,0.007638,-0.017174,,
2552,130,4.337667,1,1,0,159.965389,135.712291,24.965458,0.1001,0.004862,0.00838,-0.017331,,
2553,131,4.371033,1,1,0,160.189117,134.864241,26.097126,0.1001,-0.002229,0.010092,-0.020482,,
2554,132,4.4044,1,1,0,159.758956,134.254817,20.268179,0.1001,-0.007937,0.009162,-0.023508,,
2555,133,4.437767,1,1,0,159.00098,133.858502,18.042349,0.1001,-0.00833,0.00944,-0.027759,,
2556,134,4.471133,1,1,0,159.854076,133.257514,8.329101,0.1001,-0.003891,0.005907,-0.040159,,
2557,135,4.5045,1,1,0,160.253866,135.057417,4.819593,0.1001,0.000882,0.005203,-0.061698,,
2558,136,4.537867,1,1,0,159.868639,133.865196,1.8037,0.1001,-0.013761,0.002558,-0.080066,,
2559,137,4.571233,1,1,0,159.670466,133.269835,4.66168,0.1001,-0.029124,0.007953,-0.093089,,
2560,138,4.6046,1,1,0,159.354715,131.567317,4.974276,0.1001,-0.043061,0.006927,-0.066939,,
2561,139,4.637967,1,1,0,158.637937,128.230238,5.097799,0.1001,-0.03828,0.008187,-0.083404,,
2562,140,4.671333,1,1,0,155.98166,123.771039,4.837282,0.1001,-0.038216,0.006407,-0.065349,,
2563,141,4.7047,1,1,0,154.45375,122.318557,2.969164,0.1001,-0.045084,0.003492,-0.049993,,
2564,142,4.738067,1,1,0,153.782204,123.259887,4.829154,0.1001,-0.04055,0.00535,-0.048641,,
2565,143,4.771433,1,1,0,153.237152,121.440812,8.192202,0.1001,-0.027334,0.011986,-0.07864,,
2566,144,4.8048,1,1,0,153.961701,120.608786,12.718145,0.1001,-0.020306,0.022503,-0.097619,,
2567,145,4.838167,1,1,0,153.424766,123.086811,28.45335,0.1001,-0.022802,0.036312,-0.06301,,
2568,146,4.871533,1,1,0,156.008581,127.515245,21.278162,0.1001,-0.014139,0.043632,-0.111141,,
